sample_name,neighbours_count,vertex_betweenness,time_s
907:26-02-2021:1,12,0.0,0.0023832321166992188
328:08-04-2021:0,20,0.0,0.0026853084564208984
263:08-10-2020:0,3,0.5,0.0021331310272216797
749:25-12-2020:0,28,0.0,0.0031096935272216797
839:02-03-2021:1,16,0.0,0.0024843215942382812
483:15-03-2021:0,20,0.0,0.0025682449340820312
746:25-10-2020:0,6,0.5,0.0022430419921875
310:16-05-2021:0,13,0.0,0.002384185791015625
195:19-06-2021:0,8,0.0,0.002221345901489258
708:28-10-2020:0,30,0.0,0.003221750259399414
303:20-02-2021:0,19,0.0,0.002573728561401367
911:18-05-2021:1,1,0.5,0.0021982192993164062
951:28-12-2020:1,30,0.0,0.0034339427947998047
913+303,174,0.8595052688302575,0.07917571067810059
970:30-12-2020:1,32,0.0,0.003893613815307617
291:25-08-2020:0,4,0.5,0.0022034645080566406
122:12-11-2020:0,65,0.0,0.008392095565795898
620:06-04-2021:0,6,0.0,0.0022325515747070312
761:25-03-2021:1,25,0.0,0.0029268264770507812
43:23-01-2021:0,9,0.0,0.002248048782348633
757+179,153,0.813984864679775,0.12146949768066406
478:11-04-2021:0,21,0.5,0.003099203109741211
715:04-12-2020:0,16,0.0,0.002560853958129883
109+934,203,1.0,0.12075996398925781
46:09-03-2021:0,4,0.5,0.0027685165405273438
285:27-12-2020:0,28,0.0,0.003216266632080078
229:01-04-2021:0,9,0.5,0.002290964126586914
627:27-03-2020:0,22,0.0,0.0028536319732666016
412:02-01-2021:0,9,0.0,0.002336740493774414
279:16-09-2020:0,24,0.0,0.0028314590454101562
595:15-05-2021:0,11,0.5,0.002476930618286133
737:17-12-2020:0,21,0.0,0.002719879150390625
985:17-06-2021:1,2,0.5,0.0021359920501708984
124:24-08-2020:0,8,0.0,0.002385854721069336
976:09-05-2021:1,18,0.0,0.0024938583374023438
275:07-11-2020:0,1,0.5,0.0022058486938476562
430:23-01-2021:0,42,0.5,0.004500389099121094
7:23-11-2020:0,39,0.0,0.003961324691772461
357:26-03-2021:0,39,0.0,0.004255533218383789
816:22-05-2021:1,20,0.0,0.0027589797973632812
249:22-10-2020:0,18,0.0,0.0026030540466308594
810:23-06-2021:1,10,0.0,0.0023453235626220703
153:01-08-2020:0,48,0.0,0.005128383636474609
757:05-02-2021:1,1,0.5,0.002215862274169922
665:01-07-2021:0,2,0.5,0.002202272415161133
