,mixed,sample_name,1_count_neighbours,1_mean,1_sd,1_percentile_5,1_percentile_25,1_percentile_50,1_percentile_75,1_percentile_95,1_neighbours_snp_0,1_neighbours_snp_1,1_neighbours_snp_2,1_neighbours_snp_3,1_neighbours_snp_4,1_neighbours_snp_5,1_neighbours_snp_6,1_neighbours_snp_7,1_neighbours_snp_8,1_neighbours_snp_9,1_neighbours_snp_10,1_neighbours_snp_11,1_neighbours_snp_12,1_neighbours_snp_13,1_neighbours_snp_14,1_neighbours_snp_15,2_count_neighbour_matrix,2_mean,2_sd,2_percentile_5,2_percentile_25,2_percentile_50,2_percentile_75,2_percentile_95,2_neighbours_snp_0,2_neighbours_snp_1,2_neighbours_snp_2,2_neighbours_snp_3,2_neighbours_snp_4,2_neighbours_snp_5,2_neighbours_snp_6,2_neighbours_snp_7,2_neighbours_snp_8,2_neighbours_snp_9,2_neighbours_snp_10,2_neighbours_snp_11,2_neighbours_snp_12,2_neighbours_snp_13,2_neighbours_snp_14,2_neighbours_snp_15,2_sample_vertex_betweenness
0,False,820:14-11-2020:1,65,0.9384615384615385,0.8992518257717613,0.0,0.0,1.0,2.0,2.0,28.0,41.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,2145,1.0344988344988344,1.3000156224389745,0.0,0.0,0.0,2.0,4.0,1089.0,1504.0,1788.0,1980.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,2145.0,0.0
1,False,293:17-04-2021:0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,False,309:03-08-2020:0,18,1.6666666666666667,0.7669649888473704,0.0,2.0,2.0,2.0,2.0,3.0,3.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,171,0.3508771929824561,0.7629176519476075,0.0,0.0,0.0,0.0,2.0,141.0,141.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0
3,False,508:19-01-2021:0,25,0.64,0.8602325267042626,0.0,0.0,0.0,1.0,2.0,15.0,19.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,325,0.6307692307692307,1.071073517799695,0.0,0.0,0.0,1.0,3.0,221.0,262.0,296.0,316.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,0.0
4,False,646:27-12-2020:0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
5,False,899:31-01-2021:1,12,1.4166666666666667,0.6685579234215214,0.55,1.0,1.5,2.0,2.0,1.0,6.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,78,0.7435897435897436,0.7105128463500887,0.0,0.0,1.0,1.0,2.0,32.0,66.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0
6,False,172:19-12-2020:0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
7,False,261:31-03-2021:0,11,1.7272727272727273,0.46709936649691375,1.0,1.5,2.0,2.0,2.0,0.0,3.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,66,1.378787878787879,0.6740269685349054,0.0,1.0,1.0,2.0,2.0,7.0,34.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.5
8,False,380:09-11-2020:0,23,0.30434782608695654,0.5587959953568722,0.0,0.0,0.0,0.5,1.0,17.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,276,0.3188405797101449,0.6265113478926045,0.0,0.0,0.0,0.25,1.25,207.0,262.0,271.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,276.0,0.0
9,True,848+421,128,0.859375,0.9198970757216591,0.0,0.0,0.5,2.0,2.0,64.0,82.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,8256,4.014171511627907,3.346012786392748,0.0,1.0,3.0,6.0,10.0,1466.0,2266.0,3431.0,4184.0,4923.0,5712.0,6333.0,6959.0,7267.0,7620.0,7871.0,8043.0,8166.0,8220.0,8241.0,8253.0,0.8217096042064055
10,False,667:16-02-2021:0,6,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21,1.4285714285714286,0.9258200997725514,0.0,0.0,2.0,2.0,2.0,6.0,6.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.5
11,False,297:03-09-2020:0,2,0.5,0.7071067811865476,0.05,0.25,0.5,0.75,0.95,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.6666666666666666,0.5773502691896257,0.1,0.5,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
12,False,284:17-02-2021:0,17,1.1176470588235294,0.781213234429025,0.0,1.0,1.0,2.0,2.0,4.0,11.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,153,0.673202614379085,0.7055239314777755,0.0,0.0,1.0,1.0,2.0,71.0,132.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.0
13,False,179:07-02-2021:0,16,1.875,0.5,1.5,2.0,2.0,2.0,2.0,1.0,1.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,136,0.22058823529411764,0.6288281455225324,0.0,0.0,0.0,0.0,2.0,121.0,121.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,0.0
14,False,100:06-05-2021:0,5,1.4,0.8944271909999159,0.2,1.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15,0.6666666666666666,0.816496580927726,0.0,0.0,0.0,1.0,2.0,8.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0
15,False,175:17-03-2021:0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
16,False,537:23-09-2020:0,7,0.8571428571428571,0.6900655593423543,0.0,0.5,1.0,1.0,1.6999999999999993,2.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,28,0.42857142857142855,0.5727497953228163,0.0,0.0,0.0,1.0,1.0,17.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0
17,False,342:11-04-2021:0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
18,False,612:10-06-2021:0,2,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.3333333333333333,1.1547005383792515,0.2,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
19,False,723:12-12-2020:0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
20,False,624:02-06-2020:0,5,1.2,0.8366600265340756,0.2,1.0,1.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15,1.2,0.6761234037828133,0.0,1.0,1.0,2.0,2.0,2.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.5
21,False,758:01-05-2021:1,2,0.5,0.7071067811865476,0.05,0.25,0.5,0.75,0.95,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.6666666666666666,0.5773502691896257,0.1,0.5,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
22,False,13:03-02-2021:0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
23,False,341:02-10-2020:0,8,0.5,0.7559289460184544,0.0,0.0,0.0,1.0,1.6499999999999995,5.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,36,0.7777777777777778,0.9292427365828928,0.0,0.0,0.5,1.0,2.25,18.0,28.0,34.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0
24,False,99:21-03-2021:0,8,1.5,0.5345224838248488,1.0,1.0,1.5,2.0,2.0,0.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,36,1.3333333333333333,0.8944271909999159,0.0,1.0,1.0,2.0,3.0,6.0,22.0,32.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.5
25,False,182:18-01-2021:0,5,1.8,0.4472135954999579,1.2000000000000002,2.0,2.0,2.0,2.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15,0.8666666666666667,0.8338093878327919,0.0,0.0,1.0,1.5,2.0,6.0,11.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.5
26,False,330:15-12-2020:0,2,1.5,0.7071067811865476,1.05,1.25,1.5,1.75,1.95,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,1.9,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
27,False,359:26-01-2021:0,10,1.8,0.6324555320336759,0.9,2.0,2.0,2.0,2.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,55,0.6545454545454545,0.9470848414844876,0.0,0.0,0.0,2.0,2.0,37.0,37.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,0.5
28,False,722:01-05-2021:0,12,1.25,0.45226701686664544,1.0,1.0,1.0,1.25,2.0,0.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,78,0.3717948717948718,0.6053650687534478,0.0,0.0,0.0,1.0,2.0,54.0,73.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0
29,False,455:17-04-2021:0,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.6666666666666666,0.5773502691896257,0.1,0.5,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
30,False,36:10-02-2021:0,14,1.7142857142857142,0.7262730392025629,0.0,2.0,2.0,2.0,2.0,2.0,2.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,105,2.2285714285714286,1.5766148184367308,0.0,0.0,2.0,4.0,4.0,27.0,27.0,66.0,66.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,0.5
31,False,216:04-01-2021:0,25,0.68,0.6904105059069326,0.0,0.0,1.0,1.0,2.0,11.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,325,0.5661538461538461,0.9747232787234898,0.0,0.0,0.0,1.0,3.0,222.0,277.0,292.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,0.0
32,False,334:20-05-2021:0,9,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,45,0.4,0.8090398349558906,0.0,0.0,0.0,0.0,2.0,36.0,36.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.5
33,False,459:20-08-2020:0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
34,False,729:11-11-2020:0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
35,False,252:19-10-2020:0,25,1.96,0.2,2.0,2.0,2.0,2.0,2.0,0.0,1.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,325,0.3723076923076923,0.9094001028197363,0.0,0.0,0.0,0.0,3.0,276.0,277.0,301.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,0.5
36,True,547+761,143,0.6713286713286714,0.8116773085323072,0.0,0.0,0.0,1.0,2.0,78.0,112.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,10296,5.679972804972805,5.300127926396822,0.0,2.0,4.0,8.0,17.0,1602.0,2513.0,3728.0,4508.0,5262.0,6085.0,6756.0,7352.0,7756.0,8124.0,8451.0,8744.0,8987.0,9216.0,9384.0,9548.0,1.0
37,False,719:19-02-2021:0,18,0.9444444444444444,0.802365782965103,0.0,0.0,1.0,1.75,2.0,6.0,13.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,171,0.9005847953216374,0.9741057483373807,0.0,0.0,1.0,1.0,3.0,71.0,132.0,160.0,167.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0
38,False,78:19-11-2020:0,2,1.5,0.7071067811865476,1.05,1.25,1.5,1.75,1.95,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,1.9,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
39,False,614:11-03-2020:0,6,0.3333333333333333,0.5163977794943223,0.0,0.0,0.0,0.75,1.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21,0.5714285714285714,0.5976143046671968,0.0,0.0,1.0,1.0,1.0,10.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.5
40,False,373:13-04-2021:0,2,1.5,0.7071067811865476,1.05,1.25,1.5,1.75,1.95,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.3333333333333333,0.5773502691896257,1.0,1.0,1.0,1.5,1.9,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
41,False,32:02-06-2020:0,9,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,45,0.4,0.8090398349558906,0.0,0.0,0.0,0.0,2.0,36.0,36.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,0.5
42,False,576:02-08-2020:0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
