,col_name,auc,pearsonr
0,1_count_neighbours,0.9595744680851064,0.8018662224411541
1,1_mean,0.14516548463356974,-0.2618074741744544
2,1_sd,0.8301654846335698,0.20837519161166163
3,1_percentile_5,0.1802600472813239,-0.22328538300841283
4,1_percentile_25,0.10911347517730496,-0.3157551063785733
5,1_percentile_50,0.20738770685579194,-0.2330159813679565
6,1_percentile_75,0.28531914893617016,-0.16183780667992134
7,1_percentile_95,0.5557683215130024,0.052194812938334556
8,1_neighbours_snp_0,0.9830023640661939,0.8382545198226481
9,1_neighbours_snp_1,0.934645390070922,0.6371943905251153
10,1_neighbours_snp_2,0.9199645390070922,0.6677075509928905
11,1_neighbours_snp_3,0.9316312056737589,0.6419171317457969
12,1_neighbours_snp_4,0.5,
13,1_neighbours_snp_5,0.5,
14,1_neighbours_snp_6,0.5,
15,1_neighbours_snp_7,0.5,
16,1_neighbours_snp_8,0.5,
17,1_neighbours_snp_9,0.5,
18,1_neighbours_snp_10,0.5,
19,1_neighbours_snp_11,0.5,
20,1_neighbours_snp_12,0.5,
21,1_neighbours_snp_13,0.5,
22,1_neighbours_snp_14,0.5,
23,1_neighbours_snp_15,0.5,
24,2_count_neighbour_matrix,0.9595744680851064,0.8191837527281538
25,2_mean,0.96274231678487,0.8035471047434913
26,2_sd,0.9699054373522459,0.846088326865071
27,2_percentile_5,0.46356973995271866,-0.05261655603207205
28,2_percentile_25,0.9123995271867612,0.5419414202535319
29,2_percentile_50,0.9522813238770685,0.7130061950632081
30,2_percentile_75,0.964113475177305,0.7986828230824601
31,2_percentile_95,0.9658628841607566,0.8451962286445384
32,2_neighbours_snp_0,0.9415248226950355,0.6783732537208407
33,2_neighbours_snp_1,0.9502364066193854,0.7464723510028711
34,2_neighbours_snp_2,0.9391134751773049,0.7800278018322032
35,2_neighbours_snp_3,0.9580023640661938,0.8175529865566526
36,2_neighbours_snp_4,0.9654137115839243,0.8268887261429179
37,2_neighbours_snp_5,0.9758510638297871,0.8485082858873783
38,2_neighbours_snp_6,0.966725768321513,0.8596263048461483
39,2_neighbours_snp_7,0.97,0.8564105824423274
40,2_neighbours_snp_8,0.94,0.8551092122458357
41,2_neighbours_snp_9,0.9299999999999999,0.8476174818594426
42,2_neighbours_snp_10,0.9299999999999999,0.8237585657708251
43,2_neighbours_snp_11,0.9299999999999999,0.8093430703289718
44,2_neighbours_snp_12,0.9099999999999999,0.7837398612514417
45,2_neighbours_snp_13,0.9099999999999999,0.7793973625486985
46,2_neighbours_snp_14,0.9099999999999999,0.7423897021654523
47,2_neighbours_snp_15,0.9099999999999999,0.7123910650773171
48,2_sample_vertex_betweenness,1.0,0.6242468732046094
