,col_name,auc,pearsonr
0,1_count_neighbours,0.9180043383947939,0.7154512724680936
1,1_mean,0.14720173535791758,-0.23082212591247336
2,1_sd,0.8324295010845988,0.2022272311829348
3,1_percentile_5,0.1843817787418655,-0.21420386449583195
4,1_percentile_25,0.1173752711496746,-0.30381905757231387
5,1_percentile_50,0.2289587852494577,-0.20416818258118807
6,1_percentile_75,0.31766811279826457,-0.11491759414031691
7,1_percentile_95,0.5459869848156181,0.054999883808127335
8,1_neighbours_snp_0,0.9644577006507592,0.7513149934633102
9,1_neighbours_snp_1,0.9060086767895879,0.5935136484056595
10,1_neighbours_snp_2,0.8931778741865509,0.6351582489786082
11,1_neighbours_snp_3,0.8762798264642082,0.49210168454969305
12,1_neighbours_snp_4,0.5,
13,1_neighbours_snp_5,0.5,
14,1_neighbours_snp_6,0.5,
15,1_neighbours_snp_7,0.5,
16,1_neighbours_snp_8,0.5,
17,1_neighbours_snp_9,0.5,
18,1_neighbours_snp_10,0.5,
19,1_neighbours_snp_11,0.5,
20,1_neighbours_snp_12,0.5,
21,1_neighbours_snp_13,0.5,
22,1_neighbours_snp_14,0.5,
23,1_neighbours_snp_15,0.5,
24,2_count_neighbour_matrix,0.9180043383947939,0.758468207802128
25,2_mean,0.9773969631236441,0.7729608673806213
26,2_sd,0.9589370932754879,0.7777807005164832
27,2_percentile_5,0.5287960954446855,0.1030534596162083
28,2_percentile_25,0.9523427331887202,0.5922872204428273
29,2_percentile_50,0.9665618221258134,0.6879609766394782
30,2_percentile_75,0.9623210412147506,0.7390948729961767
31,2_percentile_95,0.9663882863340565,0.7901047707740156
32,2_neighbours_snp_0,0.8744251626898047,0.5506972020042433
33,2_neighbours_snp_1,0.9009544468546637,0.6558041230647097
34,2_neighbours_snp_2,0.907700650759219,0.6891965866370084
35,2_neighbours_snp_3,0.9200759219088936,0.6796236019306523
36,2_neighbours_snp_4,0.9347180043383948,0.7224718170252465
37,2_neighbours_snp_5,0.9517895878524947,0.7610375836967402
38,2_neighbours_snp_6,0.9480694143167028,0.7763049759706736
39,2_neighbours_snp_7,0.9489913232104121,0.8101180152310485
40,2_neighbours_snp_8,0.9198264642082429,0.8091567255252009
41,2_neighbours_snp_9,0.9199999999999999,0.7976816303698078
42,2_neighbours_snp_10,0.9099999999999999,0.781888072680812
43,2_neighbours_snp_11,0.9,0.7574647142469915
44,2_neighbours_snp_12,0.88,0.7280656520140638
45,2_neighbours_snp_13,0.88,0.7020560411703115
46,2_neighbours_snp_14,0.86,0.683614665268512
47,2_neighbours_snp_15,0.8400000000000001,0.6591796397073487
48,2_sample_vertex_betweenness,1.0,0.6781685444106721
