,col_name,auc,pearsonr
0,1_count_neighbours,0.9630309734513274,0.8028118010850394
1,1_mean,0.1598672566371681,-0.2353742691648039
2,1_sd,0.8278982300884956,0.1932907211053105
3,1_percentile_5,0.17256637168141592,-0.21725865341326633
4,1_percentile_25,0.10912610619469026,-0.3070394137216166
5,1_percentile_50,0.1946128318584071,-0.2337854207501056
6,1_percentile_75,0.32091814159292037,-0.11884723226153862
7,1_percentile_95,0.5717477876106194,0.061646092710999155
8,1_neighbours_snp_0,0.9841150442477876,0.8393635642617011
9,1_neighbours_snp_1,0.9404314159292035,0.6546914896644843
10,1_neighbours_snp_2,0.9260951327433629,0.6708297406694108
11,1_neighbours_snp_3,0.9393362831858406,0.6585323315039338
12,1_neighbours_snp_4,0.5,
13,1_neighbours_snp_5,0.5,
14,1_neighbours_snp_6,0.5,
15,1_neighbours_snp_7,0.5,
16,1_neighbours_snp_8,0.5,
17,1_neighbours_snp_9,0.5,
18,1_neighbours_snp_10,0.5,
19,1_neighbours_snp_11,0.5,
20,1_neighbours_snp_12,0.5,
21,1_neighbours_snp_13,0.5,
22,1_neighbours_snp_14,0.5,
23,1_neighbours_snp_15,0.5,
24,2_count_neighbour_matrix,0.9630309734513274,0.8196391841980959
25,2_mean,0.9630309734513274,0.7993803500424366
26,2_sd,0.9716814159292034,0.8400343069157471
27,2_percentile_5,0.45,-0.04901086155814844
28,2_percentile_25,0.9166261061946903,0.5238136485341344
29,2_percentile_50,0.95625,0.7119876332533037
30,2_percentile_75,0.9648119469026549,0.7980819306969507
31,2_percentile_95,0.9689601769911504,0.8435684268950621
32,2_neighbours_snp_0,0.9452544247787611,0.6803928469760763
33,2_neighbours_snp_1,0.9545796460176991,0.7521426973363532
34,2_neighbours_snp_2,0.9445132743362832,0.788677545370727
35,2_neighbours_snp_3,0.9608296460176992,0.8209244998392641
36,2_neighbours_snp_4,0.9683628318584071,0.8314425656723831
37,2_neighbours_snp_5,0.9777765486725664,0.853036599313748
38,2_neighbours_snp_6,0.9685066371681416,0.8633093162712279
39,2_neighbours_snp_7,0.97,0.8605830614145253
40,2_neighbours_snp_8,0.96,0.855279760896031
41,2_neighbours_snp_9,0.94,0.8444751167844007
42,2_neighbours_snp_10,0.94,0.8245514739797475
43,2_neighbours_snp_11,0.9299999999999999,0.8143532062000547
44,2_neighbours_snp_12,0.9099999999999999,0.7869829744563652
45,2_neighbours_snp_13,0.9099999999999999,0.7735167734230067
46,2_neighbours_snp_14,0.9099999999999999,0.7457784962058739
47,2_neighbours_snp_15,0.9099999999999999,0.708062510846666
48,2_sample_vertex_betweenness,1.0,0.6178088784293686
