,col_name,auc,pearsonr
0,1_count_neighbours,0.9424824824824825,0.6812394450003312
1,1_mean,0.0856056056056056,-0.3153756154690441
2,1_sd,0.8610610610610611,0.24163300250141453
3,1_percentile_5,0.1242142142142142,-0.25158183846692345
4,1_percentile_25,0.0897897897897898,-0.32759139774556084
5,1_percentile_50,0.11911911911911913,-0.2862903981672043
6,1_percentile_75,0.202952952952953,-0.18970195382569782
7,1_percentile_95,0.545045045045045,0.05163623707145496
8,1_neighbours_snp_0,0.9746746746746747,0.7737839437375494
9,1_neighbours_snp_1,0.9773673673673674,0.8047368664277481
10,1_neighbours_snp_2,0.9712312312312312,0.7985262476884214
11,1_neighbours_snp_3,0.9650950950950951,0.7858626568964447
12,1_neighbours_snp_4,0.9642242242242243,0.7731810138706994
13,1_neighbours_snp_5,0.9581081081081081,0.7545819449420039
14,1_neighbours_snp_6,0.9518218218218217,0.7323691773692774
15,1_neighbours_snp_7,0.9478778778778778,0.7094701433946186
16,1_neighbours_snp_8,0.9424824824824825,0.6812394450003312
17,1_neighbours_snp_9,0.9424824824824825,0.6812394450003312
18,1_neighbours_snp_10,0.9424824824824825,0.6812394450003312
19,1_neighbours_snp_11,0.9424824824824825,0.6812394450003312
20,1_neighbours_snp_12,0.9424824824824825,0.6812394450003312
21,1_neighbours_snp_13,0.9424824824824825,0.6812394450003312
22,1_neighbours_snp_14,0.9424824824824825,0.6812394450003312
23,1_neighbours_snp_15,0.9424824824824825,0.6812394450003312
24,2_count_neighbour_matrix,0.9424824824824825,0.8009961146596609
25,2_mean,0.9706706706706706,0.6631300821152418
26,2_sd,0.971091091091091,0.6418118693166642
27,2_percentile_5,0.8772672672672672,0.44535747464487
28,2_percentile_25,0.9491191191191191,0.5960637238648888
29,2_percentile_50,0.9664964964964965,0.6129922143567781
30,2_percentile_75,0.975145145145145,0.6449412947879185
31,2_percentile_95,0.9736136136136135,0.6737003842739935
32,2_neighbours_snp_0,0.9276376376376376,0.49455166456592464
33,2_neighbours_snp_1,0.9297397397397398,0.5132214434932082
34,2_neighbours_snp_2,0.9284484484484484,0.536347593020978
35,2_neighbours_snp_3,0.9270770770770771,0.5528364785864545
36,2_neighbours_snp_4,0.9299899899899899,0.5692255637826109
37,2_neighbours_snp_5,0.9320620620620621,0.5857934587428227
38,2_neighbours_snp_6,0.9323823823823825,0.6033542101759678
39,2_neighbours_snp_7,0.9326026026026026,0.6224373888519533
40,2_neighbours_snp_8,0.9332232232232232,0.642037296114449
41,2_neighbours_snp_9,0.9348048048048048,0.6606511850406876
42,2_neighbours_snp_10,0.9362162162162162,0.6788492734215144
43,2_neighbours_snp_11,0.9379979979979979,0.6968962518139168
44,2_neighbours_snp_12,0.9391591591591592,0.7129136203221306
45,2_neighbours_snp_13,0.9401001001001,0.7279522645624322
46,2_neighbours_snp_14,0.9412412412412412,0.7417775532102714
47,2_neighbours_snp_15,0.9417217217217217,0.7548228812135099
48,2_sample_vertex_betweenness,0.9822422422422423,0.6723777021375008
