,mixed,sample_name,1_count_neighbours,1_mean,1_sd,1_percentile_5,1_percentile_25,1_percentile_50,1_percentile_75,1_percentile_95,1_neighbours_snp_0,1_neighbours_snp_1,1_neighbours_snp_2,1_neighbours_snp_3,1_neighbours_snp_4,1_neighbours_snp_5,1_neighbours_snp_6,1_neighbours_snp_7,1_neighbours_snp_8,1_neighbours_snp_9,1_neighbours_snp_10,1_neighbours_snp_11,1_neighbours_snp_12,1_neighbours_snp_13,1_neighbours_snp_14,1_neighbours_snp_15,2_count_neighbour_matrix,2_mean,2_sd,2_percentile_5,2_percentile_25,2_percentile_50,2_percentile_75,2_percentile_95,2_neighbours_snp_0,2_neighbours_snp_1,2_neighbours_snp_2,2_neighbours_snp_3,2_neighbours_snp_4,2_neighbours_snp_5,2_neighbours_snp_6,2_neighbours_snp_7,2_neighbours_snp_8,2_neighbours_snp_9,2_neighbours_snp_10,2_neighbours_snp_11,2_neighbours_snp_12,2_neighbours_snp_13,2_neighbours_snp_14,2_neighbours_snp_15,2_sample_vertex_betweenness
0,False,820:14-11-2020:1,64,1.0,0.8357108940373449,0.0,0.0,1.0,2.0,2.0,22.0,42.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,2080,1.18125,1.2192674667041499,0.0,0.0,1.0,2.0,4.0,760.0,1423.0,1741.0,1949.0,2070.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0,0.0
2,False,309:03-08-2020:0,18,1.6111111111111112,0.7775443160352294,0.0,2.0,2.0,2.0,2.0,3.0,4.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,171,0.3391812865497076,0.7448943287873198,0.0,0.0,0.0,0.0,2.0,141.0,143.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,0.0
3,False,508:19-01-2021:0,27,0.8888888888888888,0.8473185457363234,0.0,0.0,1.0,2.0,2.0,11.0,19.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,378,1.2248677248677249,1.2487513587306642,0.0,0.0,1.0,2.0,4.0,136.0,248.0,315.0,356.0,372.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,0.22896552924780378
5,False,899:31-01-2021:1,12,1.5,0.674199862463242,0.55,1.0,2.0,2.0,2.0,1.0,5.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,78,0.5512820512820513,0.6575719978838305,0.0,0.0,0.0,1.0,2.0,42.0,71.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0
7,False,261:31-03-2021:0,11,1.6363636363636365,0.504524979109513,1.0,1.0,2.0,2.0,2.0,0.0,4.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,66,1.3484848484848484,0.6677729748355693,0.0,1.0,1.0,2.0,2.0,7.0,36.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0
8,False,380:09-11-2020:0,25,0.64,0.7,0.0,0.0,1.0,1.0,2.0,12.0,22.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,325,0.72,0.8740426861909838,0.0,0.0,1.0,1.0,3.0,161.0,275.0,306.0,324.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,0.0
9,True,848+421,128,0.8984375,0.8679765930840142,0.0,0.0,1.0,2.0,2.0,55.0,86.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,8256,4.0778827519379846,3.2078968542959423,0.0,1.0,3.0,6.0,10.0,1022.0,2126.0,3257.0,4151.0,4922.0,5716.0,6380.0,6960.0,7324.0,7646.0,7917.0,8084.0,8195.0,8228.0,8246.0,8255.0,0.8427903615626522
10,False,667:16-02-2021:0,6,1.8333333333333333,0.408248290463863,1.25,2.0,2.0,2.0,2.0,0.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21,1.2380952380952381,0.8890872794479687,0.0,0.0,2.0,2.0,2.0,6.0,10.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0
11,False,297:03-09-2020:0,2,0.5,0.7071067811865476,0.05,0.25,0.5,0.75,0.95,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,0.6666666666666666,0.5773502691896257,0.1,0.5,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.5
12,False,284:17-02-2021:0,17,1.2352941176470589,0.8313702367707394,0.0,1.0,1.0,2.0,2.0,4.0,9.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,153,1.026143790849673,0.8187579844391768,0.0,0.0,1.0,2.0,2.0,44.0,110.0,148.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,0.924228208115403
